ap140_ashtpahud_1970_71.mp3 - ['115', '05 Bhav Pahud', '117-118', 'Guj', None, None]
ap141_ashtpahud_1970_71.mp3 - ['116', '05 Bhav Pahud', '118-119', 'Guj', None, None]
ap142_ashtpahud_1970_71.mp3 - ['117', '05 Bhav Pahud', '119-120', 'Guj', None, None]
ap143_ashtpahud_1970_71.mp3 - ['118', '05 Bhav Pahud', '120-122', 'Guj', None, None]
ap144_ashtpahud_1970_71.mp3 - ['119', '05 Bhav Pahud', '122-124', 'Guj', None, None]
ap145_ashtpahud_1970_71.mp3 - ['120', '05 Bhav Pahud', '124-125', 'Guj', None, None]
ap146_ashtpahud_1970_71.mp3 - ['121', '05 Bhav Pahud', '125-126', 'Guj', None, None]
ap147_ashtpahud_1970_71.mp3 - ['122', '05 Bhav Pahud', '127-130', 'Guj', None, None]
ap148_ashtpahud_1970_71.mp3 - ['123', '05 Bhav Pahud', '131-133', 'Guj', None, None]
ap149_ashtpahud_1970_71.mp3 - ['124', '05 Bhav Pahud', '133-137', 'Guj', None, None]
ap150_ashtpahud_1970_71.mp3 - ['125', '05 Bhav Pahud', '137-141', 'Guj', None, None]
ap151_ashtpahud_1970_71.mp3 - ['126', '05 Bhav Pahud', '142-147', 'Guj', None, None]
ap152_ashtpahud_1970_71.mp3 - ['127', '05 Bhav Pahud', '147-148', 'Guj', None, None]
ap153_ashtpahud_1970_71.mp3 - ['128', '05 Bhav Pahud', '148', 'Guj', None, None]
ap154_ashtpahud_1970_71.mp3 - ['129', '05 Bhav Pahud', '148-149', 'Guj', None, None]
ap155_ashtpahud_1970_71.mp3 - ['130', '05 Bhav Pahud', '149-151', 'Guj', None, None]
ap156_ashtpahud_1970_71.mp3 - ['131', '05 Bhav Pahud', '151-153', 'Guj', None, None]
ap157_ashtpahud_1970_71.mp3 - ['132', '05 Bhav Pahud', '153-155', 'Guj', None, None]
ap158_ashtpahud_1970_71.mp3 - ['133', '05 Bhav Pahud', '155-157', 'Guj', None, None]
ap159_ashtpahud_1970_71.mp3 - ['134', '05 Bhav Pahud', '158-160', 'Guj', None, None]
ap160_ashtpahud_1970_71.mp3 - ['135', '05 Bhav Pahud', '160-162', 'Guj', None, None]
ap161_ashtpahud_1970_71.mp3 - ['136', '05 Bhav Pahud', '162-163', 'Guj', None, None]
