द्रव्य,dravya
आठवें गुणस्थान,athaven gunsthan
​अपूर्वकरण,apoorvakaran
अनिवृतिकरण,anivritikaran
नवमगुणस्थान,navamagunasthan
दशम गुणस्थान,dasham gunsthan
सूक्ष्मसाम्प्राय,sookshmasampray
ग्यारहवें गुणस्थान,gyarahaven gunsthan
उपशान्तमोह,upashantamoh
क्षीणमोह,kshinamoh
बारहवें गुणस्थान,barahaven gunsthan
सयोगकेवली,sayogakevali
तेरहवें गुणस्थान,terahaven gunsthan
चौदहवें गुणस्थान,chaudahaven gunsthan
अयोगकेवली,ayogakevali
पदार्थ,padarth
लक्षण,lakshan
आत्मभूतलक्षण,atmabhootalakshan
अनात्मभूतलक्षण,anatmabhootalakshan
लक्षणाभास,lakshanabhas
दोष,dosh
लक्ष्य,lakshyya
अव्याप्तिदोष,avyaptidosh
अतिव्याप्तिदोष,ativyaptidosh
अलक्ष्य,alakshya
असम्भवदोष,asambhavadosh
प्रमाण,praman
प्रत्यक्ष,pratyaksh
सांव्यवहारिक,sanvyavaharik
पारमार्थिक,paramarthik
विकलपारमार्थिक,vikalparmarthik
अवधिज्ञान,avadhijnan
मनःपर्ययज्ञान,manhapryayjnan
सकलपारमार्थिक,sakalaparamarthik
केवलज्ञान,kevalajnan
परोक्षप्रमाण,parokshapraman
स्मृति,smriti
प्रत्यभिज्ञान,pratyabhijnan
एकत्वप्रत्यभिज्ञान,ekatvapratyabhijnan
सादृश्यप्रत्यभिज्ञान,sadrishyaprat
तर्क,tark
व्याप्ति,vyapti
अविनाभावसम्बन्ध,avinabhavasambandh
साधना,sadhna
साध्य,sadhy
इष्ट,isht
अबाधित,abadhit
असिद्ध,asiddh
अनुमान,anuman
हेत्वाभास,hetvabhas
साधनाभास,sadhanabhas
विरुद्ध,viruddh
अनैकान्तिक हेत्वाभास,anaikantik hetvabhas
व्यभिचारी,vyabhichary
पक्ष,paksh
सपक्ष,sapax
विपक्ष,vipaksh
अकिञ्चितकरहेत्वाभास,akinchitkarhetwabhas
सिद्धसाधन,siddhasadhan
बधितविषय,badhitavishay
प्रत्यक्षबधित,pratyakshabadhit
अनुमान बाधित,anuman badhit
आगमबाधित,agambadhit
स्ववचनबाधित,svavachanabadhit
अंग,ang
प्रतिज्ञा,pratigya
हेतु,hetu
उदाहरण,udaharan
दृष्टान्त,drishtant
अन्वयदृष्टान्त,anvyadrishtant
व्यतिरेकदृष्टान्त,vyatirekadrishtant
उपनय,upanaya
निगमन,nigman
केवलान्वयी,kevlanvyi
केवलव्यतिरेकी,kevalavyatireki
अन्वयव्यतिरेकी,anvayavyatireki
आगमप्रमाण,agampraman
आप्त,apt
विशेष,vishesh
सहभावी,sahabhavi
क्रमभावी,krambhavi
प्रमाणाभास,pramanabhas
संशय,sanshay
विपर्यय,viparyy
अनध्यवसाय,andhyavsay
नय,nay
निश्चयनय,nishchayanay
व्यवहारनय,vyavaharanay
द्रव्यार्थिक,dravyarthik
पर्यायार्थिकनय,paryayarthikanaya
नैगमनय,naigmany
संग्रहनय,sangrahanay
ऋजुसूत्रनय,rijusutranay
शब्दनय,shabdanaya
समभिरूढ़,sambhiroor
एवंभूतनय,evambhutanya
सदभूतव्यवहार,sadabhootavyavahar
असदभूतव्यवहारनय,asadabhootavyavaharan
उपचरितव्यवहारनय,upacharitavyavahara
उपचरित,upacharit
निक्षेप,nixep
नामनिक्षेप,namnixep
स्थापनानिक्षेप,sthapananikshep
द्रव्यनिक्षेप,dravynixep
भावनिक्षेप,bhavanikshep
